boundary_id,date,bin,n
8_11,2025-02-08,425,0
8_11,2025-02-08,475,0
8_11,2025-02-08,525,0
8_11,2025-02-08,575,0
8_11,2025-02-08,625,0
8_11,2025-02-08,675,0
8_11,2025-02-08,725,1
8_11,2025-02-08,775,0
8_11,2025-02-08,825,0
8_11,2025-02-08,875,5
8_11,2025-02-08,925,0
8_11,2025-02-08,975,0
8_11,2025-02-08,1025,2
8_11,2025-02-08,1075,0
8_11,2025-02-08,1125,2
8_11,2025-02-08,1175,0
8_11,2025-02-08,1225,1
8_11,2025-02-08,1275,1
8_11,2025-02-08,1325,0
8_11,2025-02-08,1375,1
